Ref,Pin,Pin name,Net,Notes
Q2,G,GATE,Q2_GATE,2N7002
R2,1,5V1,FUSED_5V1,100k
R2,2,GATE,PWR_GATE,100k
R3,1,PICO,PICO_GP15,1k
R3,2,Q2G,Q2_GATE,1k
R4,1,Q2G,Q2_GATE,100k
R4,2,GND,GND,100k
C1,1,+,OPI_5V_SW,470uF-1000uF 10V
C1,2,-,GND,470uF-1000uF 10V
J1,1,3V3,OPI_3V3,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,2,5V,OPI_5V_SW,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,3,SDA,OPI_SDA,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,4,5V,OPI_5V_SW,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,5,SCL,OPI_SCL,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,6,GND,GND,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,7,1WIRE,OPI_1WIRE,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,8,TX,UART_OPI_TX_PICO_RX,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,9,GND,GND,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,10,RX,UART_PICO_TX_OPI_RX,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,11,READY,OPI_READY,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,14,GND,GND,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,17,3V3,OPI_3V3,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,20,GND,GND,Orange Pi Zero 3 26-pin header (physical pin numbering)
J1,25,GND,GND,Orange Pi Zero 3 26-pin header (physical pin numbering)
J2,1,GP0/TX,UART_PICO_TX_OPI_RX,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,2,GP1/RX,UART_OPI_TX_PICO_RX,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,3,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,6,GP4,PICO_GP4,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,7,GP5,PICO_GP5,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,8,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,13,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,17,GP13,OPI_READY,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,18,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,19,GP14,PICO_GP14,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,20,GP15,PICO_GP15,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,21,GP16/LED,PICO_LED_GP16,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,23,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,28,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,33,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,36,3V3,PICO_3V3,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,38,GND,GND,Raspberry Pi Pico 2x20 header (physical pin numbering)
J2,39,VSYS,FUSED_5V1,Raspberry Pi Pico 2x20 header (physical pin numbering)
J3,1,VDD,OPI_3V3,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,2,GND,GND,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,3,SDA,OPI_SDA,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,4,SCL,OPI_SCL,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,5,ADDR,GND,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,6,A0,PH_AIN,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,7,A1,TDS_AIN,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,8,A2,TURB_AIN,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J3,9,A3,ORP_AIN,ADS1115 #1 module header, address 0x48 (ADDR -> GND)
J4,1,VDD,OPI_3V3,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,2,GND,GND,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,3,SDA,OPI_SDA,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,4,SCL,OPI_SCL,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,5,ADDR,OPI_3V3,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,6,A0,DO_AIN,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,7,A1,NH4_AIN,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,8,A2,SPARE_AIN2,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J4,9,A3,SPARE_AIN3,ADS1115 #2 module header, address 0x49 (ADDR -> 3.3V)
J5,1,VCC,OPI_3V3,DS18B20 waterproof temperature probe
J5,2,DATA,OPI_1WIRE,DS18B20 waterproof temperature probe
J5,3,GND,GND,DS18B20 waterproof temperature probe
R1,1,3V3,OPI_3V3,4.7k
R1,2,DATA,OPI_1WIRE,4.7k
J6,1,VCC,OPI_3V3,BME280 ambient air sensor (I2C)
J6,2,GND,GND,BME280 ambient air sensor (I2C)
J6,3,SDA,OPI_SDA,BME280 ambient air sensor (I2C)
J6,4,SCL,OPI_SCL,BME280 ambient air sensor (I2C)
J7,1,VCC,PICO_3V3,DS3231 RTC (Pico I2C bus, separate from Orange Pi)
J7,2,GND,GND,DS3231 RTC (Pico I2C bus, separate from Orange Pi)
J7,3,SDA,PICO_GP4,DS3231 RTC (Pico I2C bus, separate from Orange Pi)
J7,4,SCL,PICO_GP5,DS3231 RTC (Pico I2C bus, separate from Orange Pi)
J15,1,NO,PICO_GP14,Download/pairing button (NO/C) and optional LED
J15,2,C,GND,Download/pairing button (NO/C) and optional LED
J15,3,LED+,BUTTON_LED_A,Download/pairing button (NO/C) and optional LED
J15,4,LED-,GND,Download/pairing button (NO/C) and optional LED
R5,1,PICO,PICO_LED_GP16,330R if 3.3V LED
R5,2,LED+,BUTTON_LED_A,330R if 3.3V LED
J16,1,3V3,OPI_3V3,Spare ADS1115 #2 A2/A3 analog header
J16,2,GND,GND,Spare ADS1115 #2 A2/A3 analog header
J16,3,AIN2,SPARE_AIN2,Spare ADS1115 #2 A2/A3 analog header
J16,4,AIN3,SPARE_AIN3,Spare ADS1115 #2 A2/A3 analog header
J8,1,5V,OPI_5V_SW,pH sensor module terminal
J8,2,GND,GND,pH sensor module terminal
J8,3,AO,PH_AIN,pH sensor module terminal
J9,1,5V,OPI_5V_SW,TDS sensor module terminal
J9,2,GND,GND,TDS sensor module terminal
J9,3,AO,TDS_AIN,TDS sensor module terminal
J10,1,5V,OPI_5V_SW,Turbidity sensor module terminal
J10,2,GND,GND,Turbidity sensor module terminal
J10,3,AO,TURB_AIN,Turbidity sensor module terminal
J11,1,5V,OPI_5V_SW,ORP sensor module terminal
J11,2,GND,GND,ORP sensor module terminal
J11,3,AO,ORP_AIN,ORP sensor module terminal
J12,1,5V,OPI_5V_SW,Dissolved oxygen sensor module terminal
J12,2,GND,GND,Dissolved oxygen sensor module terminal
J12,3,AO,DO_AIN,Dissolved oxygen sensor module terminal
J13,1,5V,OPI_5V_SW,Ammonium ISE amplifier terminal
J13,2,GND,GND,Ammonium ISE amplifier terminal
J13,3,AO,NH4_AIN,Ammonium ISE amplifier terminal
